Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  1,477,200 ptrs | 897,731 records | 11474 ptr/s | 0 inv-err
  1,493,600 ptrs | 907,560 records | 11495 ptr/s | 0 inv-err
  1,512,600 ptrs | 921,075 records | 11550 ptr/s | 0 inv-err
  1,514,600 ptrs | 922,250 records | 11546 ptr/s | 0 inv-err
  1,519,200 ptrs | 925,382 records | 11535 ptr/s | 0 inv-err
  1,519,800 ptrs | 925,839 records | 11527 ptr/s | 0 inv-err
  1,522,600 ptrs | 927,537 records | 11509 ptr/s | 0 inv-err
  1,525,400 ptrs | 929,252 records | 11499 ptr/s | 0 inv-err
  1,530,200 ptrs | 932,983 records | 11505 ptr/s | 0 inv-err
  1,548,200 ptrs | 945,575 records | 11505 ptr/s | 0 inv-err
  1,555,800 ptrs | 949,645 records | 11495 ptr/s | 0 inv-err
  1,580,600 ptrs | 962,280 records | 11522 ptr/s | 0 inv-err
  1,582,600 ptrs | 963,698 records | 11517 ptr/s | 0 inv-err
  1,594,200 ptrs | 971,660 records | 11523 ptr/s | 0 inv-err
  1,602,800 ptrs | 976,735 records | 11536 ptr/s | 0 inv-err
  1,610,400 ptrs | 980,994 records | 11554 ptr/s | 0 inv-err
  1,627,200 ptrs | 991,017 records | 11562 ptr/s | 0 inv-err
  1,632,200 ptrs | 994,298 records | 11549 ptr/s | 0 inv-err
  1,639,400 ptrs | 998,785 records | 11544 ptr/s | 0 inv-err
  1,642,800 ptrs | 1,001,297 records | 11544 ptr/s | 0 inv-err
  1,657,200 ptrs | 1,010,994 records | 11538 ptr/s | 0 inv-err
  1,674,400 ptrs | 1,020,972 records | 11534 ptr/s | 0 inv-err
  1,681,000 ptrs | 1,025,148 records | 11540 ptr/s | 0 inv-err
  1,688,800 ptrs | 1,030,502 records | 11531 ptr/s | 0 inv-err
  1,690,800 ptrs | 1,032,022 records | 11529 ptr/s | 0 inv-err
  1,698,000 ptrs | 1,036,595 records | 11527 ptr/s | 0 inv-err
  1,700,600 ptrs | 1,038,332 records | 11526 ptr/s | 0 inv-err
  1,710,600 ptrs | 1,043,459 records | 11511 ptr/s | 0 inv-err
  1,735,000 ptrs | 1,058,334 records | 11491 ptr/s | 0 inv-err
  1,735,800 ptrs | 1,058,567 records | 11491 ptr/s | 0 inv-err
  1,768,000 ptrs | 1,076,303 records | 11465 ptr/s | 0 inv-err
  1,768,400 ptrs | 1,076,641 records | 11465 ptr/s | 0 inv-err
  1,787,800 ptrs | 1,087,406 records | 11456 ptr/s | 0 inv-err
  1,809,000 ptrs | 1,100,412 records | 11448 ptr/s | 0 inv-err
  1,813,800 ptrs | 1,104,025 records | 11437 ptr/s | 0 inv-err
  1,815,800 ptrs | 1,105,283 records | 11436 ptr/s | 0 inv-err
  1,824,200 ptrs | 1,111,394 records | 11448 ptr/s | 0 inv-err
  1,824,400 ptrs | 1,111,521 records | 11449 ptr/s | 0 inv-err
  1,832,600 ptrs | 1,116,782 records | 11460 ptr/s | 0 inv-err
  1,843,600 ptrs | 1,123,294 records | 11466 ptr/s | 0 inv-err
  1,851,800 ptrs | 1,126,654 records | 11479 ptr/s | 0 inv-err
  1,866,800 ptrs | 1,134,201 records | 11495 ptr/s | 0 inv-err
  1,887,800 ptrs | 1,148,592 records | 11484 ptr/s | 0 inv-err
  1,893,400 ptrs | 1,152,206 records | 11489 ptr/s | 0 inv-err
  1,902,800 ptrs | 1,158,506 records | 11498 ptr/s | 0 inv-err
  1,916,800 ptrs | 1,167,815 records | 11472 ptr/s | 0 inv-err
  1,951,400 ptrs | 1,189,754 records | 11498 ptr/s | 0 inv-err
