=== BEFORE Sat Aug  1 01:49:30 EDT 2026 ===
total 12,072,644 | real-phone 1,578,305
=== [1/2] lambda-drive cc-warc-mon-all.jsonl Sat Aug  1 01:49:30 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  1,330,600 ptrs | 1,096,865 records | 10018 ptr/s | 0 inv-err
  1,332,200 ptrs | 1,098,186 records | 10023 ptr/s | 0 inv-err
  1,354,000 ptrs | 1,116,115 records | 10030 ptr/s | 0 inv-err
  1,354,200 ptrs | 1,116,284 records | 10031 ptr/s | 0 inv-err
  1,373,200 ptrs | 1,131,490 records | 9995 ptr/s | 0 inv-err
  1,378,000 ptrs | 1,135,395 records | 10013 ptr/s | 0 inv-err
  1,405,200 ptrs | 1,157,966 records | 9964 ptr/s | 0 inv-err
  1,411,800 ptrs | 1,163,386 records | 9984 ptr/s | 0 inv-err
  1,425,800 ptrs | 1,174,872 records | 10015 ptr/s | 0 inv-err
  1,426,800 ptrs | 1,175,683 records | 10019 ptr/s | 0 inv-err
  1,432,800 ptrs | 1,180,684 records | 10016 ptr/s | 0 inv-err
  1,444,200 ptrs | 1,190,185 records | 9941 ptr/s | 0 inv-err
  1,451,600 ptrs | 1,196,357 records | 9956 ptr/s | 0 inv-err
  1,461,800 ptrs | 1,204,801 records | 9996 ptr/s | 0 inv-err
  1,467,400 ptrs | 1,209,389 records | 10011 ptr/s | 0 inv-err
  1,480,400 ptrs | 1,220,004 records | 10033 ptr/s | 0 inv-err
  1,482,400 ptrs | 1,221,642 records | 10031 ptr/s | 0 inv-err
  1,506,000 ptrs | 1,240,883 records | 10011 ptr/s | 0 inv-err
  1,507,200 ptrs | 1,241,875 records | 10016 ptr/s | 0 inv-err
  1,511,000 ptrs | 1,244,986 records | 10020 ptr/s | 0 inv-err
  1,543,000 ptrs | 1,271,274 records | 10041 ptr/s | 0 inv-err
  1,550,000 ptrs | 1,276,941 records | 10048 ptr/s | 0 inv-err
  1,566,600 ptrs | 1,290,369 records | 10073 ptr/s | 0 inv-err
  1,577,000 ptrs | 1,298,838 records | 10080 ptr/s | 0 inv-err
  1,581,800 ptrs | 1,302,834 records | 10071 ptr/s | 0 inv-err
  1,584,200 ptrs | 1,304,831 records | 10074 ptr/s | 0 inv-err
  1,600,400 ptrs | 1,318,295 records | 10087 ptr/s | 0 inv-err
  1,615,400 ptrs | 1,330,763 records | 10123 ptr/s | 0 inv-err
  1,615,800 ptrs | 1,331,079 records | 10125 ptr/s | 0 inv-err
  1,618,800 ptrs | 1,333,586 records | 10123 ptr/s | 0 inv-err
  1,626,000 ptrs | 1,339,520 records | 10131 ptr/s | 0 inv-err
  1,638,800 ptrs | 1,350,251 records | 10121 ptr/s | 0 inv-err
  1,645,800 ptrs | 1,356,051 records | 10128 ptr/s | 0 inv-err
  1,655,000 ptrs | 1,363,577 records | 10148 ptr/s | 0 inv-err
  1,669,400 ptrs | 1,375,317 records | 10169 ptr/s | 0 inv-err
  1,671,200 ptrs | 1,376,792 records | 10168 ptr/s | 0 inv-err
  1,691,000 ptrs | 1,393,392 records | 10169 ptr/s | 0 inv-err
  1,694,400 ptrs | 1,396,232 records | 10170 ptr/s | 0 inv-err
  1,706,000 ptrs | 1,405,703 records | 10182 ptr/s | 0 inv-err
  1,715,800 ptrs | 1,413,693 records | 10203 ptr/s | 0 inv-err
  1,727,200 ptrs | 1,423,234 records | 10195 ptr/s | 0 inv-err
  1,736,200 ptrs | 1,430,775 records | 10201 ptr/s | 0 inv-err
  1,746,800 ptrs | 1,439,455 records | 10205 ptr/s | 0 inv-err
  1,773,000 ptrs | 1,460,814 records | 10222 ptr/s | 0 inv-err
  1,780,400 ptrs | 1,466,781 records | 10214 ptr/s | 0 inv-err
  1,781,200 ptrs | 1,467,462 records | 10214 ptr/s | 0 inv-err
  1,783,000 ptrs | 1,468,931 records | 10211 ptr/s | 0 inv-err
  1,789,400 ptrs | 1,474,146 records | 10223 ptr/s | 0 inv-err
  1,823,600 ptrs | 1,501,893 records | 10240 ptr/s | 0 inv-err
  1,828,000 ptrs | 1,505,457 records | 10241 ptr/s | 0 inv-err
  1,841,000 ptrs | 1,516,053 records | 10251 ptr/s | 0 inv-err
  1,845,400 ptrs | 1,519,568 records | 10250 ptr/s | 0 inv-err
  1,852,800 ptrs | 1,525,570 records | 10253 ptr/s | 0 inv-err
  1,853,200 ptrs | 1,525,875 records | 10253 ptr/s | 0 inv-err
  1,866,800 ptrs | 1,536,884 records | 10257 ptr/s | 0 inv-err
  1,879,000 ptrs | 1,546,686 records | 10265 ptr/s | 0 inv-err
  1,882,800 ptrs | 1,549,742 records | 10243 ptr/s | 0 inv-err
  1,886,600 ptrs | 1,552,716 records | 10218 ptr/s | 0 inv-err
  1,887,400 ptrs | 1,553,352 records | 10216 ptr/s | 0 inv-err
  1,909,200 ptrs | 1,570,983 records | 10241 ptr/s | 0 inv-err
  1,920,600 ptrs | 1,580,224 records | 10247 ptr/s | 0 inv-err
  1,934,200 ptrs | 1,591,199 records | 10219 ptr/s | 0 inv-err
  1,948,600 ptrs | 1,602,836 records | 10235 ptr/s | 0 inv-err
  1,950,600 ptrs | 1,604,454 records | 10236 ptr/s | 0 inv-err
  1,957,200 ptrs | 1,609,815 records | 10242 ptr/s | 0 inv-err
  1,968,600 ptrs | 1,619,124 records | 10235 ptr/s | 0 inv-err
  1,997,800 ptrs | 1,642,761 records | 10251 ptr/s | 0 inv-err
  1,998,800 ptrs | 1,643,571 records | 10251 ptr/s | 0 inv-err
  2,001,200 ptrs | 1,645,454 records | 10244 ptr/s | 0 inv-err
  2,013,400 ptrs | 1,655,481 records | 10230 ptr/s | 0 inv-err
  2,026,600 ptrs | 1,666,365 records | 10229 ptr/s | 0 inv-err
  2,040,200 ptrs | 1,677,396 records | 10243 ptr/s | 0 inv-err
  2,045,400 ptrs | 1,681,486 records | 10240 ptr/s | 0 inv-err
  2,056,400 ptrs | 1,690,439 records | 10238 ptr/s | 0 inv-err
  2,066,200 ptrs | 1,698,478 records | 10233 ptr/s | 0 inv-err
  2,068,800 ptrs | 1,700,599 records | 10236 ptr/s | 0 inv-err
  2,100,200 ptrs | 1,726,152 records | 10244 ptr/s | 0 inv-err
  2,110,200 ptrs | 1,734,241 records | 10243 ptr/s | 0 inv-err
  2,110,400 ptrs | 1,734,394 records | 10243 ptr/s | 0 inv-err
  2,123,200 ptrs | 1,744,744 records | 10245 ptr/s | 0 inv-err
  2,128,800 ptrs | 1,749,294 records | 10252 ptr/s | 0 inv-err
  2,142,400 ptrs | 1,760,318 records | 10250 ptr/s | 0 inv-err
  2,142,600 ptrs | 1,760,478 records | 10251 ptr/s | 0 inv-err
  2,156,200 ptrs | 1,771,514 records | 10245 ptr/s | 0 inv-err
  2,164,000 ptrs | 1,777,803 records | 10248 ptr/s | 0 inv-err
  2,183,000 ptrs | 1,793,275 records | 10259 ptr/s | 0 inv-err
  2,183,800 ptrs | 1,793,928 records | 10261 ptr/s | 0 inv-err
  2,189,400 ptrs | 1,798,480 records | 10255 ptr/s | 0 inv-err
  2,195,600 ptrs | 1,803,452 records | 10227 ptr/s | 0 inv-err
  2,219,400 ptrs | 1,822,700 records | 10247 ptr/s | 0 inv-err
  2,230,000 ptrs | 1,831,320 records | 10230 ptr/s | 0 inv-err
  2,241,400 ptrs | 1,840,496 records | 10215 ptr/s | 0 inv-err
  2,254,800 ptrs | 1,851,377 records | 10228 ptr/s | 0 inv-err
  2,258,000 ptrs | 1,853,939 records | 10233 ptr/s | 0 inv-err
  2,268,000 ptrs | 1,862,103 records | 10226 ptr/s | 0 inv-err
  2,270,400 ptrs | 1,864,011 records | 10221 ptr/s | 0 inv-err
  2,273,800 ptrs | 1,866,779 records | 10209 ptr/s | 0 inv-err
  2,296,800 ptrs | 1,885,447 records | 10219 ptr/s | 0 inv-err
  2,308,600 ptrs | 1,894,976 records | 10223 ptr/s | 0 inv-err
  2,326,800 ptrs | 1,909,600 records | 10213 ptr/s | 0 inv-err
  2,331,200 ptrs | 1,913,181 records | 10215 ptr/s | 0 inv-err
  2,332,600 ptrs | 1,914,314 records | 10217 ptr/s | 0 inv-err
  2,347,800 ptrs | 1,926,614 records | 10221 ptr/s | 0 inv-err
  2,358,400 ptrs | 1,935,204 records | 10217 ptr/s | 0 inv-err
  2,368,600 ptrs | 1,943,399 records | 10214 ptr/s | 0 inv-err
  2,378,400 ptrs | 1,951,337 records | 10223 ptr/s | 0 inv-err
  2,389,400 ptrs | 1,960,187 records | 10212 ptr/s | 0 inv-err
  2,411,200 ptrs | 1,977,889 records | 10209 ptr/s | 0 inv-err
