Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  1,881,200 ptrs | 957,805 records | 8373 ptr/s | 0 inv-err
  1,887,600 ptrs | 961,024 records | 8376 ptr/s | 0 inv-err
  1,905,800 ptrs | 970,575 records | 8393 ptr/s | 0 inv-err
  1,912,200 ptrs | 973,772 records | 8406 ptr/s | 0 inv-err
  1,926,600 ptrs | 981,465 records | 8418 ptr/s | 0 inv-err
  1,938,800 ptrs | 987,725 records | 8423 ptr/s | 0 inv-err
  1,950,200 ptrs | 993,346 records | 8432 ptr/s | 0 inv-err
  1,964,200 ptrs | 1,000,184 records | 8450 ptr/s | 0 inv-err
  1,977,600 ptrs | 1,006,552 records | 8456 ptr/s | 1 inv-err
  1,979,400 ptrs | 1,007,476 records | 8460 ptr/s | 1 inv-err
  1,983,600 ptrs | 1,009,403 records | 8464 ptr/s | 1 inv-err
  1,986,000 ptrs | 1,010,589 records | 8467 ptr/s | 1 inv-err
  2,018,000 ptrs | 1,026,550 records | 8487 ptr/s | 1 inv-err
  2,019,800 ptrs | 1,027,530 records | 8491 ptr/s | 1 inv-err
  2,023,200 ptrs | 1,029,270 records | 8494 ptr/s | 1 inv-err
  2,023,600 ptrs | 1,029,491 records | 8493 ptr/s | 1 inv-err
  2,032,000 ptrs | 1,033,846 records | 8496 ptr/s | 1 inv-err
  2,037,000 ptrs | 1,036,255 records | 8506 ptr/s | 1 inv-err
  2,061,600 ptrs | 1,048,854 records | 8527 ptr/s | 1 inv-err
  2,077,400 ptrs | 1,057,285 records | 8536 ptr/s | 1 inv-err
  2,078,600 ptrs | 1,057,864 records | 8537 ptr/s | 1 inv-err
  2,103,600 ptrs | 1,070,140 records | 8552 ptr/s | 1 inv-err
  2,110,000 ptrs | 1,073,135 records | 8561 ptr/s | 1 inv-err
  2,138,000 ptrs | 1,087,725 records | 8577 ptr/s | 1 inv-err
  2,140,600 ptrs | 1,089,029 records | 8581 ptr/s | 1 inv-err
  2,141,000 ptrs | 1,089,207 records | 8582 ptr/s | 1 inv-err
  2,148,200 ptrs | 1,092,881 records | 8584 ptr/s | 1 inv-err
  2,155,400 ptrs | 1,096,835 records | 8588 ptr/s | 1 inv-err
